ts,date,usdt_buy_median,usdt_sell_median
2026-03-31T16:59:50-04:00,2026-03-31,659.0,657.5025
2026-03-31T17:41:56-04:00,2026-03-31,659.994,657.75
2026-03-31T18:19:35-04:00,2026-03-31,659.0,656.53
2026-03-31T18:54:03-04:00,2026-03-31,658.825,656.115
2026-03-31T19:21:37-04:00,2026-03-31,657.99,656.0
2026-03-31T19:52:48-04:00,2026-03-31,657.9,656.0
2026-03-31T21:11:18-04:00,2026-03-31,657.7,655.175
2026-04-01T00:20:07-04:00,2026-04-01,658.145,651.0
2026-04-01T02:06:26-04:00,2026-04-01,659.495,649.6
2026-04-01T03:50:16-04:00,2026-04-01,659.999,647.0
2026-04-01T04:49:31-04:00,2026-04-01,659.999,647.1
2026-04-01T05:53:39-04:00,2026-04-01,659.3995,649.915
2026-04-01T06:43:05-04:00,2026-04-01,658.225,650.52
2026-04-01T07:36:51-04:00,2026-04-01,657.4970000000001,653.48
2026-04-01T08:38:51-04:00,2026-04-01,653.999,651.31
2026-04-01T10:14:10-04:00,2026-04-01,652.0005,648.725
2026-04-01T11:40:04-04:00,2026-04-01,650.0,647.5
2026-04-01T12:35:56-04:00,2026-04-01,649.195,646.1055
2026-04-01T13:31:54-04:00,2026-04-01,648.945,647.9
2026-04-01T14:11:11-04:00,2026-04-01,650.05,649.1500000000001
2026-04-01T15:20:24-04:00,2026-04-01,653.7745,650.155
2026-04-01T16:04:40-04:00,2026-04-01,653.425,652.5205
2026-04-01T16:57:29-04:00,2026-04-01,655.0,653.925
2026-04-01T17:38:00-04:00,2026-04-01,657.0,654.0
2026-04-01T18:07:35-04:00,2026-04-01,656.1865,653.5
2026-04-01T18:54:53-04:00,2026-04-01,655.1995,652.805
2026-04-01T19:27:06-04:00,2026-04-01,655.0,653.653
2026-04-01T19:55:44-04:00,2026-04-01,655.5,653.0055
2026-04-01T21:22:39-04:00,2026-04-01,655.8,653.306
2026-04-02T00:02:08-04:00,2026-04-02,656.295,650.0
2026-04-02T01:45:57-04:00,2026-04-02,657.5,649.3499999999999
2026-04-02T02:54:51-04:00,2026-04-02,658.0,648.55
2026-04-02T03:57:51-04:00,2026-04-02,658.0,647.1500000000001
2026-04-02T04:53:29-04:00,2026-04-02,658.4445000000001,646.485
2026-04-02T05:47:23-04:00,2026-04-02,657.5205000000001,647.05
2026-04-02T06:37:50-04:00,2026-04-02,656.8499999999999,648.9255
2026-04-02T07:28:47-04:00,2026-04-02,655.8945,650.0
2026-04-02T08:06:33-04:00,2026-04-02,655.845,651.2
2026-04-02T09:51:49-04:00,2026-04-02,654.0,651.8040000000001
2026-04-02T10:44:28-04:00,2026-04-02,653.47,651.25
2026-04-02T11:42:34-04:00,2026-04-02,652.6500000000001,651.2
2026-04-02T12:36:47-04:00,2026-04-02,652.9975,651.775
2026-04-02T13:29:08-04:00,2026-04-02,653.0,651.0
2026-04-02T14:08:15-04:00,2026-04-02,653.0,652.0
2026-04-02T15:12:47-04:00,2026-04-02,653.9945,652.25
2026-04-02T15:56:30-04:00,2026-04-02,654.145,652.3009999999999
2026-04-02T16:28:42-04:00,2026-04-02,654.899,652.2505
2026-04-02T17:01:52-04:00,2026-04-02,654.0,651.944
2026-04-02T17:48:18-04:00,2026-04-02,653.7985,652.2
2026-04-02T18:18:46-04:00,2026-04-02,653.4995,651.3125
2026-04-02T18:53:21-04:00,2026-04-02,653.4995,650.9155
2026-04-02T19:21:09-04:00,2026-04-02,653.4775,650.031
2026-04-02T19:52:24-04:00,2026-04-02,652.894,649.5565
2026-04-02T21:04:20-04:00,2026-04-02,651.999,648.325
2026-04-02T23:50:21-04:00,2026-04-02,652.4870000000001,646.3
2026-04-03T01:26:22-04:00,2026-04-03,653.0,644.5
2026-04-03T02:43:21-04:00,2026-04-03,653.6,643.1500000000001
2026-04-03T03:47:21-04:00,2026-04-03,653.6,642.2629999999999
2026-04-03T04:34:45-04:00,2026-04-03,653.55,641.85
2026-04-03T05:32:18-04:00,2026-04-03,653.1700000000001,642.775
2026-04-03T06:09:50-04:00,2026-04-03,653.0,643.7005
2026-04-03T07:01:30-04:00,2026-04-03,652.875,646.205
2026-04-03T07:42:40-04:00,2026-04-03,652.0,647.5025
2026-04-03T08:05:26-04:00,2026-04-03,651.9985,647.0699999999999
2026-04-03T09:25:12-04:00,2026-04-03,646.0,642.0
2026-04-03T10:10:08-04:00,2026-04-03,644.9995,642.01
2026-04-03T10:59:50-04:00,2026-04-03,648.125,645.331
2026-04-03T11:40:24-04:00,2026-04-03,650.0,647.66
2026-04-03T12:06:41-04:00,2026-04-03,650.0,647.0
2026-04-03T12:55:28-04:00,2026-04-03,647.0,644.1005
2026-04-03T13:26:20-04:00,2026-04-03,647.0,644.255
2026-04-03T13:58:21-04:00,2026-04-03,646.9935,643.4725000000001
2026-04-03T14:43:54-04:00,2026-04-03,647.0,644.3
